load_time: 0.007 min
dist_time: 0.1 min
round  iter  unused  time_seed  time_child  time_update  n_replace  n_eval
   0     1      81        0.0         0.1          1.2        123     2226
   0     2      40        0.0         0.1          0.5        182     846
   1     1      74        0.0         0.1          0.7        125     1369
   1     2      30        0.0         0.1          0.3        168     533
   2     1      62        0.0         0.1          0.3        110     580
   2     2      17        0.0         0.0          0.1        131     253
   3     1      60        0.0         0.0          0.1         83     286
   3     2      38        0.0         0.1          0.1        126     355
   4     1      53        0.0         0.1          0.1         71     198
   4     2      57        0.0         0.1          0.1        140     300
   4     3      32        0.0         0.1          0.1        178     259
