load_time: 0.007 min
dist_time: 0.1 min
round  iter  unused  time_seed  time_child  time_update  n_replace  n_eval
   0     1      75        0.0         0.1          1.2        134     2023
   0     2      39        0.0         0.1          0.5        185     819
   1     1      80        0.0         0.1          0.7        134     1342
   1     2      37        0.0         0.1          0.3        178     549
   2     1      67        0.0         0.1          0.3        116     630
   2     2      25        0.0         0.1          0.1        145     271
   3     1      59        0.0         0.1          0.1         80     308
   3     2      45        0.0         0.1          0.1        139     350
   4     1      49        0.0         0.0          0.1         62     208
   4     2      36        0.0         0.1          0.1        102     250
   5     1      30        0.0         0.0          0.0         34     105
   6     1      22        0.0         0.0          0.0         25     82
   7     1      22        0.0         0.0          0.0         24     73
   8     1      20        0.0         0.0          0.0         20     74
   9     1      17        0.0         0.0          0.0         17     63
  10     1      11        0.0         0.0          0.0         13     49
  11     1      12        0.0         0.0          0.0         12     56
  12     1      11        0.0         0.0          0.0         10     50
  13     1       6        0.0         0.0          0.0          6     51
  14     1      11        0.0         0.0          0.0         11     48
  15     1      13        0.0         0.0          0.0         13     69
  16     1       8        0.0         0.0          0.0          8     60
  17     1       8        0.0         0.0          0.0          8     78
  18     1      11        0.0         0.0          0.0         12     56
  19     1       4        0.0         0.0          0.0          4     38
  20     1       9        0.0         0.0          0.0          9     45
  21     1       7        0.0         0.0          0.0          8     62
  22     1       9        0.0         0.0          0.0         10     52
  23     1       7        0.0         0.0          0.0          7     41
  24     1       6        0.0         0.0          0.0          6     40
  25     1       4        0.0         0.0          0.0          4     32
  26     1       4        0.0         0.0          0.0          3     38
  27     1       7        0.0         0.0          0.0          6     45
  28     1       9        0.0         0.0          0.0          9     40
  29     1       3        0.0         0.0          0.0          3     34
  30     1       3        0.0         0.0          0.0          3     37
  31     1       6        0.0         0.0          0.0          7     49
  32     1       2        0.0         0.0          0.0          2     31
  33     1       6        0.0         0.0          0.0          5     39
  34     1       8        0.0         0.0          0.0          7     31
  35     1       4        0.0         0.0          0.0          4     31
  36     1       7        0.0         0.0          0.0          6     30
  37     1       2        0.0         0.0          0.0          2     28
  38     1       7        0.0         0.0          0.0          4     28
  39     1       4        0.0         0.0          0.0          2     35
  40     1       3        0.0         0.0          0.0          1     26
  41     1       5        0.0         0.0          0.0          4     28
  42     1       4        0.0         0.0          0.0          3     34
  43     1       3        0.0         0.0          0.0          2     33
  44     1       3        0.0         0.0          0.0          2     37
  45     1       5        0.0         0.0          0.0          5     35
  46     1       2        0.0         0.0          0.0          2     34
  47     1       1        0.0         0.0          0.0          1     36
  48     1       2        0.0         0.0          0.0          2     35
  49     1       2        0.0         0.0          0.0          2     41
  50     1       1        0.0         0.0          0.0          1     29
  51     1       2        0.0         0.0          0.0          1     30
  52     1       2        0.0         0.0          0.0          1     38
  53     1       0        0.0         0.0          0.0          0     33
  54     1       1        0.0         0.0          0.0          1     32
  55     1       3        0.0         0.0          0.0          3     35
  56     1       4        0.0         0.0          0.0          4     39
  57     1       2        0.0         0.0          0.0          1     37
  58     1       2        0.0         0.0          0.0          1     38
  59     1       2        0.0         0.0          0.0          1     41
  60     1       1        0.0         0.0          0.0          1     42
  61     1       1        0.0         0.0          0.0          1     36
  62     1       1        0.0         0.0          0.0          1     39
  63     1       1        0.0         0.0          0.0          1     39
  64     1       1        0.0         0.0          0.0          1     44
  65     1       1        0.0         0.0          0.0          1     42
  66     1       0        0.0         0.0          0.0          0     39
  67     1       0        0.0         0.0          0.0          0     42
  68     1       2        0.0         0.0          0.0          2     32
  69     1       2        0.0         0.0          0.0          2     38
  70     1       2        0.0         0.0          0.0          2     35
  71     1       3        0.0         0.0          0.0          3     32
  72     1       2        0.0         0.0          0.0          2     29
  73     1       0        0.0         0.0          0.0          0     29
  74     1       2        0.0         0.0          0.0          1     27
  75     1       0        0.0         0.0          0.0          0     28
  76     1       0        0.0         0.0          0.0          0     38
  77     1       1        0.0         0.0          0.0          1     32
  78     1       0        0.0         0.0          0.0          0     42
  79     1       1        0.0         0.0          0.0          1     33
  80     1       2        0.0         0.0          0.0          1     31
  81     1       1        0.0         0.0          0.0          0     26
  82     1       1        0.0         0.0          0.0          0     31
  83     1       1        0.0         0.0          0.0          1     39
  84     1       1        0.0         0.0          0.0          1     23
  85     1       0        0.0         0.0          0.0          0     26
  86     1       0        0.0         0.0          0.0          0     31
  87     1       1        0.0         0.0          0.0          1     42
  88     1       3        0.0         0.0          0.0          3     32
  89     1       2        0.0         0.0          0.0          2     27
  90     1       1        0.0         0.0          0.0          1     34
  91     1       0        0.0         0.0          0.0          0     25
  92     1       3        0.0         0.0          0.0          2     41
  93     1       1        0.0         0.0          0.0          1     38
  94     1       1        0.0         0.0          0.0          1     32
  95     1       0        0.0         0.0          0.0          0     38
  96     1       3        0.0         0.0          0.0          2     28
  97     1       0        0.0         0.0          0.0          0     26
  98     1       0        0.0         0.0          0.0          0     30
  99     1       1        0.0         0.0          0.0          0     25
 100     1       0        0.0         0.0          0.0          0     31
 101     1       3        0.0         0.0          0.0          1     33
 102     1       3        0.0         0.0          0.0          2     32
 103     1       3        0.0         0.0          0.0          2     48
 104     1       0        0.0         0.0          0.0          0     36
 105     1       0        0.0         0.0          0.0          0     33
 106     1       1        0.0         0.0          0.0          1     38
 107     1       1        0.0         0.0          0.0          0     33
 108     1       0        0.0         0.0          0.0          0     56
 109     1       1        0.0         0.0          0.0          1     40
 110     1       1        0.0         0.0          0.0          0     34
 111     1       1        0.0         0.0          0.0          1     25
 112     1       2        0.0         0.0          0.0          0     41
 113     1       0        0.0         0.0          0.0          0     38
 114     1       0        0.0         0.0          0.0          0     32
 115     1       1        0.0         0.0          0.0          1     37
 116     1       1        0.0         0.0          0.0          1     45
 117     1       0        0.0         0.0          0.0          0     33
 118     1       1        0.0         0.0          0.0          0     49
