nbank: 100
nseed: 60
max_repeat: 150
R_d: 0.997301 (convergent_round: 150)
D_avg: 0.664 (similarity: 0.336)
init_bank_avg - SAS: 4.120, QED: 0.718
round   dcut  n_iter  obj_avg  obj_min  obj_max  n_replace  min/round
   0   0.332      2    0.386    0.239    0.655        185       1.84
   1   0.331      2    0.484    0.387    0.655        178       1.15
   2   0.330      2    0.543    0.484    0.657        145       0.56
   3   0.329      2    0.590    0.544    0.672        139       0.46
   4   0.328      2    0.626    0.591    0.672        102       0.37
   5   0.327      1    0.635    0.606    0.681         34       0.09
   6   0.327      1    0.640    0.616    0.681         25       0.08
   7   0.326      1    0.645    0.625    0.683         24       0.07
   8   0.325      1    0.649    0.631    0.683         20       0.06
   9   0.324      1    0.652    0.635    0.684         17       0.06
  10   0.323      1    0.654    0.637    0.684         13       0.06
  11   0.322      1    0.655    0.638    0.684         12       0.06
  12   0.321      1    0.657    0.639    0.688         10       0.05
  13   0.320      1    0.657    0.640    0.688          6       0.06
  14   0.320      1    0.658    0.642    0.688         11       0.06
  15   0.319      1    0.660    0.643    0.692         13       0.07
  16   0.318      1    0.661    0.644    0.692          8       0.06
  17   0.317      1    0.662    0.645    0.692          8       0.07
  18   0.316      1    0.663    0.648    0.692         12       0.06
  19   0.315      1    0.664    0.648    0.692          4       0.05
  20   0.314      1    0.665    0.649    0.692          9       0.05
  21   0.314      1    0.665    0.650    0.692          8       0.06
  22   0.313      1    0.666    0.652    0.697         10       0.05
  23   0.312      1    0.667    0.652    0.697          7       0.05
  24   0.311      1    0.668    0.654    0.697          6       0.05
  25   0.310      1    0.668    0.654    0.697          4       0.04
  26   0.309      1    0.668    0.655    0.697          3       0.04
  27   0.309      1    0.669    0.655    0.697          6       0.04
  28   0.308      1    0.670    0.656    0.697          9       0.04
  29   0.307      1    0.670    0.657    0.697          3       0.04
  30   0.306      1    0.670    0.657    0.697          3       0.04
  31   0.305      1    0.671    0.657    0.697          7       0.04
  32   0.304      1    0.671    0.658    0.697          2       0.03
  33   0.304      1    0.672    0.658    0.699          5       0.04
  34   0.303      1    0.672    0.659    0.699          7       0.03
  35   0.302      1    0.673    0.659    0.704          4       0.03
  36   0.301      1    0.673    0.660    0.704          6       0.03
  37   0.300      1    0.673    0.661    0.704          2       0.03
  38   0.300      1    0.674    0.661    0.704          4       0.03
  39   0.299      1    0.674    0.662    0.704          2       0.04
  40   0.298      1    0.674    0.662    0.704          1       0.03
  41   0.297      1    0.674    0.662    0.704          4       0.03
  42   0.296      1    0.675    0.662    0.706          3       0.04
  43   0.296      1    0.675    0.662    0.706          2       0.04
  44   0.295      1    0.676    0.663    0.706          2       0.04
  45   0.294      1    0.676    0.664    0.706          5       0.04
  46   0.293      1    0.676    0.664    0.706          2       0.04
  47   0.292      1    0.676    0.664    0.706          1       0.04
  48   0.292      1    0.676    0.664    0.706          2       0.04
  49   0.291      1    0.676    0.665    0.706          2       0.04
  50   0.290      1    0.676    0.665    0.706          1       0.04
  51   0.289      1    0.676    0.665    0.706          1       0.04
  52   0.288      1    0.677    0.665    0.706          1       0.04
  53   0.288      1    0.677    0.665    0.706          0       0.04
  54   0.287      1    0.677    0.665    0.706          1       0.04
  55   0.286      1    0.677    0.665    0.706          3       0.04
  56   0.285      1    0.678    0.666    0.706          4       0.05
  57   0.285      1    0.678    0.666    0.706          1       0.04
  58   0.284      1    0.678    0.666    0.706          1       0.04
  59   0.283      1    0.678    0.666    0.706          1       0.04
  60   0.282      1    0.678    0.666    0.706          1       0.04
  61   0.281      1    0.678    0.666    0.706          1       0.04
  62   0.281      1    0.678    0.666    0.706          1       0.04
  63   0.280      1    0.678    0.666    0.706          1       0.04
  64   0.279      1    0.678    0.666    0.706          1       0.04
  65   0.278      1    0.678    0.666    0.706          1       0.04
  66   0.278      1    0.678    0.666    0.706          0       0.04
  67   0.277      1    0.678    0.666    0.706          0       0.04
  68   0.276      1    0.678    0.667    0.706          2       0.04
  69   0.275      1    0.678    0.667    0.707          2       0.04
  70   0.275      1    0.679    0.668    0.707          2       0.04
  71   0.274      1    0.679    0.668    0.707          3       0.04
  72   0.273      1    0.679    0.668    0.707          2       0.04
  73   0.272      1    0.679    0.668    0.707          0       0.04
  74   0.272      1    0.679    0.668    0.707          1       0.04
  75   0.271      1    0.679    0.668    0.707          0       0.04
  76   0.270      1    0.679    0.668    0.707          0       0.04
  77   0.270      1    0.679    0.668    0.707          1       0.04
