load_time: 0.009 min
dist_time: 0.0 min
round  iter  unused  time_seed  time_child  time_update  n_replace  n_eval
   0     1      10        0.0         0.0          0.1         13     250
   0     2       9        0.0         0.0          0.0         19     101
   0     3       8        0.0         0.0          0.0         25     149
   0     4       9        0.0         0.0          0.0         30     131
   0     5       6        0.0         0.0          0.1         31     156
   0     6       7        0.0         0.1          0.1         38     211
   0     7       7        0.0         0.0          0.0         39     99
   0     8       6        0.0         0.0          0.0         41     144
   0     9       5        0.0         0.0          0.0         42     172
   0    10       7        0.0         0.0          0.0         47     152
   0    11       7        0.0         0.0          0.0         54     145
   0    12       6        0.0         0.0          0.0         56     165
   0    13       5        0.0         0.0          0.0         60     159
   0    14       5        0.0         0.0          0.0         62     185
   0    15       5        0.0         0.0          0.0         64     188
   0    16       5        0.0         0.0          0.0         66     155
   0    17       6        0.0         0.0          0.0         71     181
   0    18       5        0.0         0.0          0.0         75     116
   0    19       4        0.0         0.0          0.0         77     128
   1     1       6        0.0         0.0          0.0         10     110
   1     2       3        0.0         0.0          0.0         11     69
   2     1       6        0.0         0.0          0.0          7     81
   2     2       4        0.0         0.0          0.0          8     51
