nbank: 100
nseed: 60
max_repeat: 150
R_d: 0.997301 (convergent_round: 150)
D_avg: 0.655 (similarity: 0.345)
init_bank_avg - SAS: 4.151, QED: 0.732
round   dcut  n_iter  obj_avg  obj_min  obj_max  n_replace  min/round
   0   0.328     14    0.506    0.270    0.663        535      13.06
   1   0.327      3    0.570    0.508    0.663        138       1.50
   2   0.326      5    0.613    0.572    0.677        157       1.39
   3   0.325      4    0.641    0.614    0.689        112       0.82
   4   0.324      6    0.658    0.642    0.693        113       1.01
   5   0.323      5    0.667    0.655    0.693         77       0.80
   6   0.322      5    0.670    0.658    0.693         31       0.72
   7   0.322      6    0.672    0.660    0.693         22       0.81
   8   0.321      6    0.674    0.662    0.693         25       0.79
   9   0.320      6    0.675    0.664    0.693         15       0.81
  10   0.319      5    0.675    0.665    0.693          2       0.72
  11   0.318      5    0.675    0.665    0.693         10       0.75
  12   0.317      5    0.675    0.665    0.693          5       0.75
  13   0.316      5    0.675    0.665    0.693          1       0.76
  14   0.315      5    0.676    0.666    0.693          3       0.75
  15   0.315      5    0.676    0.666    0.693          8       0.68
  16   0.314      5    0.676    0.666    0.693          0       0.68
  17   0.313      5    0.676    0.666    0.693          3       0.72
  18   0.312      5    0.676    0.666    0.693          2       0.73
  19   0.311      6    0.677    0.667    0.693          7       0.77
  20   0.310      5    0.677    0.667    0.693          1       0.71
  21   0.310      6    0.677    0.667    0.693          4       0.74
  22   0.309      5    0.677    0.668    0.693          3       0.72
  23   0.308      6    0.678    0.668    0.693          1       0.73
  24   0.307      6    0.678    0.668    0.693          1       0.74
  25   0.306      6    0.678    0.669    0.693          2       0.76
  26   0.305      5    0.678    0.669    0.693          0       0.68
  27   0.305      5    0.678    0.669    0.693          0       0.67
  28   0.304      5    0.678    0.669    0.693          0       0.64
  29   0.303      5    0.678    0.669    0.693          2       0.61
  30   0.302      5    0.678    0.669    0.693          1       0.67
  31   0.301      5    0.678    0.669    0.693          0       0.63
  32   0.300      5    0.678    0.669    0.693          0       0.65
  33   0.300      5    0.678    0.669    0.693          1       0.63
  34   0.299      5    0.678    0.669    0.693          1       0.68
  35   0.298      4    0.678    0.669    0.693          1       0.56
  36   0.297      5    0.678    0.669    0.693          0       0.62
  37   0.296      5    0.678    0.669    0.693          2       0.64
  38   0.296      5    0.678    0.670    0.693          1       0.64
  39   0.295      5    0.678    0.670    0.693          0       0.65
  40   0.294      5    0.678    0.670    0.693          0       0.66
  41   0.293      5    0.678    0.670    0.693          1       0.66
  42   0.292      5    0.678    0.670    0.693          1       0.63
  43   0.292      5    0.678    0.670    0.693          0       0.63
  44   0.291      5    0.678    0.670    0.693          0       0.63
  45   0.290      5    0.678    0.670    0.693          0       0.65
  46   0.289      5    0.678    0.670    0.693          0       0.65
  47   0.289      5    0.678    0.670    0.693          0       0.65
